代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
600157	永泰能源	10.07	0.00	7.81	        364.37亿	1.64	    43.75	0.15	1.64	--  	6251600	5257	          2.81	1.51	1.64	1.50	1.49	100020.38	  2.37	火力发电	山西	9.40	1.60	2869240	3382360	  0.85	384398	0	--  	545.94	          0.02	0.06	6304.13	        222.18	        364.37亿	 10.49	   3872	   1615	        0.0007	2	0.68	7.19	15.49	-3.53	22.39	9	          4.16	        246.18亿	         67.56	8.12	0.32	KDJ金叉	5	1	10	1.34	10.07	0.67	7.38	8.61	0.00	9.33	20210716	19980513	        222.18	--  	--  	1046.57	419.78	         38.91	56.17	93.92	173.73	500.33	228.31	15.66	5.53	31.76	0.01	132.83	54.21	42.86	3.59	1.00	2.94	2.08	1.01	67.48	10.13	0.97	270272.00	         55541	9.11万	642.16	17.33	          0.87	35.97	6.72	0.00	0.009㈠	          1.89	0.00	          0.60	          0.30	          0.05	         40.11	   0.50㈠	         20.94	          6.63	          3.84	0.21	8745	600157	20210730	1.64	0.00	
600769	祥龙电业	10.05	0.00	319.17	         22.57亿	6.02	   233.73	0.55	6.02	--  	213248	130	          5.69	5.47	6.02	5.41	5.47	12366.92	  2.80	建筑工程	湖北	11.15	5.80	93628	119620	  0.78	27019	0	--  	21.44	          0.01	0.13	1626.54	          3.75	         22.57亿	 10.48	   2565	     83	        0.0022	3	3.80	14.67	-3.68	17.58	14.89	8	          7.73	         16.60亿	         73.54	426.87	0.24	EXPMA金叉	12	1	14	0.00	10.05	-1.10	6.02	10.05	0.00	11.28	20210728	19961101	          3.75	--  	--  	1.56	0.63	--  	59.70	0.64	0.71	0.05	0.90	0.23	0.00	0.10	--  	3.67	0.11	0.08	0.02	0.00	0.02	0.02	0.03	-7.21	0.03	0.04	16888.00	         16330	9.83万	283.19	77.44	         35.93	779.21	203.68	0.00	0.006㈠	          0.17	0.00	          0.98	         -1.92	          0.01	         40.30	   3.84㈠	         28.06	         21.79	         21.79	--  	68	600769	--  	--  	--  	
603683	晶华新材	10.05	0.00	11.07	         19.00亿	10.40	    32.19	0.95	10.40	--  	87142	181	          4.91	9.88	10.40	9.77	9.45	8918.79	  3.13	化工原料	上海	6.67	10.23	45198	41944	  1.08	13576	0	--  	490.54	          0.70	0.16	1411.90	          1.77	         18.44亿	 10.47	    891	     98	        0.0055	2	10.01	16.99	13.41	2.97	14.47	4	         12.31	          7.36亿	         38.73	12.22	0.99	MACD金叉	6	14	8	4.55	10.05	3.39	8.30	5.26	0.00	6.45	20210716	20171020	          1.83	--  	--  	17.02	9.46	          0.36	42.30	7.95	6.27	1.01	5.35	1.58	2.46	1.96	--  	3.99	3.02	2.46	0.17	0.00	0.17	0.15	0.13	4.15	-0.04	-0.95	8229.00	          8600	8.94万	1127.38	94.18	          2.01	-459.00	6.30	0.34	0.081㈠	          5.18	0.00	          2.18	          2.27	         -0.02	         55.57	   1.56㈠	         18.43	          5.59	          4.89	0.13	1430	603683	--  	--  	--  	
600421	华嵘控股	10.05	0.00	242.24	         23.14亿	11.83	--  	1.08	11.83	--  	15460	1	          0.79	10.65	11.83	10.64	10.75	1781.84	  0.98	综合类	湖北	11.07	11.53	6465	8995	  0.72	19539	0	--  	12.99	          0.01	1.26	2311.46	          1.96	         23.14亿	 10.47	    479	     32	        0.0017	3	0.56	12.99	-12.37	20.84	22.59	20	          1.70	         10.75亿	         46.45	232.67	0.22	KDJ金叉	10	8	11	-0.93	10.05	-1.02	7.21	11.08	0.00	11.18	20210719	20040607	          1.96	--  	--  	1.17	0.35	          0.26	47.69	1.07	0.07	0.02	0.55	0.22	0.24	0.44	--  	2.29	0.20	0.18	-0.01	0.00	-0.01	-0.01	-0.01	-4.18	-0.10	-0.10	5905.00	         15386	18.20万	-41.20	32.49	         66.53	-236.07	114.71	0.00	-0.010㈠	          0.18	0.00	          1.17	         -2.13	         -0.05	         29.81	  -3.87㈠	         11.09	         -7.34	         -6.68	--  	281	600421	20210730	11.83	0.00	
603693	江苏新能	10.04	0.00	55.25	         91.46亿	14.80	    11.48	1.35	14.80	--  	223038	265	          3.61	13.55	14.80	13.55	13.45	32470.34	  2.35	新型电力	江苏	9.29	14.56	110518	112520	  0.98	10405	0	--  	56.77	          0.04	0.05	1539.94	          6.18	         91.46亿	 10.46	   3265	     68	        0.0011	2	4.26	7.33	13.85	23.23	16.26	6	         18.90	         17.46亿	         19.09	59.50	0.67	KDJ金叉	8	12	8	0.74	10.04	0.74	8.24	9.23	0.00	9.23	20210716	20180703	          6.18	--  	--  	122.24	48.51	          5.40	55.89	31.89	56.84	0.60	14.45	10.76	0.24	15.76	0.00	31.50	5.39	2.20	2.69	0.00	2.69	1.99	1.94	9.87	1.91	0.49	31577.00	          3737	5.53万	6.31	22.78	          1.89	47.98	16.97	1.01	0.320㈠	          7.85	0.00	          5.10	          1.60	          0.31	         39.69	   4.10㈠	         59.10	         49.84	         36.95	0.01	654	603693	--  	--  	--  	
600483	福能股份	10.03	0.00	11.02	        213.24亿	11.41	     9.69	1.04	11.41	--  	267759	496	          1.61	10.39	11.41	10.29	10.37	29302.41	  1.15	火力发电	福建	10.80	10.94	118961	148798	  0.80	20467	0	--  	97.35	          0.02	0.08	2335.28	         16.60	        189.45亿	 10.45	   4070	     66	        0.0004	1	-0.67	2.70	11.86	8.25	48.96	4	          5.10	         59.90亿	         28.09	14.26	0.57	-- -- 	8	8	8	0.19	10.03	-0.77	5.53	9.82	0.00	10.88	20210721	20040531	         18.69	--  	--  	371.93	162.47	         34.02	47.17	66.53	165.25	4.73	57.77	31.32	3.03	27.17	--  	49.38	28.38	20.39	7.68	1.60	7.68	5.50	5.49	60.93	9.15	10.31	23268.00	         22561	25.74万	397.14	74.16	          1.29	23.30	7.51	2.37	0.310㈠	          8.84	8.84	          2.64	          3.26	          0.49	         43.68	   3.39㈠	         28.16	         27.05	         19.39	0.05	2963	600483	--  	--  	--  	
601727	上海电气	10.03	0.00	14.81	        518.93亿	4.06	    24.10	0.37	4.06	--  	1742656	2319	          1.38	3.68	4.06	3.65	3.69	69075.48	  3.50	电气设备	上海	11.11	3.96	651023	1091633	  0.60	108478	0	--  	220.03	          0.01	0.06	4404.21	        126.55	        513.81亿	 10.45	   4103	    425	        0.0003	1	-2.38	3.85	-2.40	-20.70	-24.81	2	          3.96	        178.72亿	         34.44	16.97	0.17	MACD金叉	9	9	4	-0.27	10.03	-1.08	7.42	10.33	0.00	11.23	20210716	20081205	        157.06	--  	         29.24	3129.10	699.47	        396.26	64.98	2247.16	173.82	89.65	1732.79	306.23	349.67	326.71	6.31	216.66	254.15	208.86	10.50	4.78	10.69	6.61	5.09	270.10	-134.36	-112.76	298185.00	         14762	5.99万	482.68	75.09	          0.91	-4.75	2.51	1.77	0.040㈠	          4.45	0.00	          1.38	          1.72	         -0.86	         22.35	   0.95㈠	         17.82	          4.13	          2.60	8.89	39312	601727	--  	--  	--  	
603985	恒润股份	10.03	0.00	8.22	         45.37亿	17.12	     8.16	1.56	17.12	--  	125192	24	          4.72	15.70	17.12	15.57	15.56	21170.82	  2.36	机械基件	江苏	9.96	16.91	71957	53235	  1.35	6339	0	--  	45.06	          0.02	0.05	1085.24	          2.65	         45.37亿	 10.45	   2721	     46	        0.0017	2	2.77	6.07	4.52	-9.45	-31.75	2	          8.58	         24.97亿	         55.05	9.80	0.47	KDJ金叉	9	9	10	0.90	10.03	0.06	8.68	9.04	0.00	9.96	20210716	20170505	          2.65	--  	--  	27.05	16.62	          0.25	37.64	15.23	5.75	0.84	9.04	2.22	4.59	3.50	0.00	4.80	6.24	4.10	1.63	0.00	1.65	1.39	1.37	9.35	-0.05	-0.19	13067.00	         11164	19.11万	177.67	61.31	          2.73	-996.61	7.27	2.70	0.524㈠	          6.27	0.00	          1.81	          3.53	         -0.02	         61.44	   8.36㈠	         34.29	         26.15	         22.28	0.22	1146	603985	--  	--  	--  	
603559	中通国脉	10.02	0.00	--  	         25.48亿	17.78	--  	1.62	17.78	--  	33084	163	          2.31	17.78	17.78	17.78	16.16	5882.37	  0.63	通信设备	吉林	0.00	17.78	26554	6530	  4.07	120664	0	--  	2293.47	          1.00	3.65	21454.06	          1.43	         25.48亿	 10.45	    633	     52	        0.0036	4	10.01	33.18	45.50	54.34	14.27	6	          2.55	         23.02亿	         90.36	--  	0.20	-- -- 	6	6	11	10.02	10.02	10.02	10.02	0.00	0.00	0.00	20210716	20161202	          1.43	--  	--  	18.45	8.59	         -0.05	53.76	13.79	0.60	0.28	8.81	1.74	4.08	5.73	0.01	4.53	0.59	0.52	-0.20	0.00	-0.20	-0.18	-0.18	2.05	-0.47	-0.48	31146.00	          4158	7.39万	-31.95	-4.89	          2.97	-54.64	42.90	0.00	-0.130㈠	          5.99	0.00	          3.16	          1.43	         -0.33	         46.53	  -2.12㈠	         12.13	        -33.14	        -30.70	0.02	1153	603559	--  	--  	--  	
605167	利柏特	10.02	0.00	42.88	         45.85亿	10.21	    68.92	0.93	10.21	--  	28605	207	          2.55	10.21	10.21	10.21	9.28	2920.56	  5.68	专用机械	江苏	0.00	10.21	27696	909	 30.47	180457	0	--  	164.55	          0.14	6.31	18424.66	          1.12	         11.46亿	 10.44	   1369	     21	        0.0019	5	9.95	33.11	110.95	110.95	110.95	0	          2.55	         11.46亿	         25.00	44.00	0.00	-- -- 				10.02	10.02	10.02	10.02	0.00	0.00	0.00	20210725	20210726	          4.49	--  	--  	16.73	8.35	--  	50.09	9.32	3.22	1.93	6.86	2.09	1.43	2.13	--  	0.51	8.33	7.21	0.42	-0.01	0.42	0.33	0.30	4.13	0.42	-0.25	112914.00	           994	1.02万	0.00	0.00	          3.47	108.77	5.50	0.00	0.074㈡	          2.94	2.94	          0.11	          0.92	          0.09	         49.91	   3.98㈡	         13.47	          5.05	          3.99	0.08	3239	605167	--  	--  	--  	
