代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
301037	N保立佳	109.2	0.65	30.30	         27.93亿	31.00	   214.75	16.18	30.99	31.00	133746	1004	         62.62	37.88	38.80	30.31	14.82	45500.50	0.00	化工原料	上海	57.29	34.02	72206	61540	  1.17	6	139	--  	1950.44	          2.41	--  	--  	          0.21	          6.62亿	109.47	   4270	     31	        0.0147	1	0.00	109.18	109.18	109.18	109.18	0	         62.62	          6.62亿	         23.71	31.10	0.00	-- -- 				155.60	161.81	104.52	129.56	-18.16	-20.10	2.28	20210729	20210730	          0.90	--  	--  	19.66	4.95	--  	74.81	15.27	2.85	0.68	14.64	2.88	1.75	5.62	--  	0.98	5.16	4.46	0.06	0.00	0.06	0.03	0.02	3.24	-0.14	0.57	29626.00	           721	2.23万	0.00	0.00	          3.58	-194.43	5.41	0.00	0.036㈠	          8.65	8.65	          1.09	          3.60	         -0.16	         25.19	   0.66㈠	         13.57	          1.11	          0.63	0.10	616	301037	--  	--  	--  	
300198	纳川股份	20.06	0.00	98.59	         43.84亿	4.25	  4547.80	0.71	4.25	--  	576071	3678	          6.63	3.51	4.25	3.51	3.54	23564.57	  0.86	塑料	福建	20.90	4.09	346941	229130	  1.51	157199	0	--  	44.96	          0.02	0.27	6680.96	          8.69	         36.95亿	 20.35	   1688	    341	        0.0039	2	2.91	16.13	12.73	8.42	-17.48	3	          8.76	         27.95亿	         63.76	90.92	0.48	KDJ金叉	11	4	9	-0.85	20.06	-0.85	15.55	21.08	0.00	21.08	20210716	20110407	         10.32	--  	--  	37.90	14.50	          0.34	60.84	11.58	3.37	0.90	15.06	3.21	1.30	3.72	--  	0.64	1.44	1.07	-0.00	0.00	-0.00	0.00	-0.00	2.88	-0.74	-0.15	26119.00	         25181	10.70万	-93.96	30.07	          3.02	-59.25	30.43	0.00	0.000㈠	          1.41	0.00	          0.06	          0.28	         -0.07	         38.25	   0.02㈠	         26.05	         -0.29	          0.17	0.07	934	300198	--  	--  	--  	
300559	佳发教育	20.04	0.00	24.84	         46.66亿	11.68	   238.40	1.95	11.68	--  	418603	1228	         14.01	9.48	11.68	9.37	9.73	45279.37	  2.82	软件服务	四川	23.74	10.82	174829	243774	  0.72	18286	0	--  	887.04	          0.60	0.04	2135.80	          2.99	         34.89亿	 20.33	   3228	    130	        0.0043	2	15.01	31.83	32.88	31.83	-11.52	1	         26.90	         18.17亿	         38.95	22.18	0.28	阶段放量	3	9	13	-2.57	20.04	-3.70	11.17	23.21	0.00	24.65	20210716	20161101	          4.00	--  	--  	11.69	10.05	          0.45	10.21	7.58	1.35	0.43	1.19	4.41	0.57	1.83	0.00	0.19	0.55	0.27	-0.03	-0.01	-0.03	0.05	0.59	6.22	-0.63	-2.04	15908.00	          9781	11.42万	-82.13	-43.80	          4.64	-73.75	85.17	1.67	0.010㈠	          2.52	0.00	          0.05	          1.56	         -0.16	         85.97	   0.49㈠	         51.25	         -5.89	          8.93	0.19	720	300559	--  	--  	--  	
300405	科隆股份	20.04	0.00	--  	         25.98亿	11.68	--  	1.95	11.68	--  	346018	276	         22.91	9.86	11.68	9.80	9.73	38746.98	  2.26	化工原料	辽宁	19.32	11.20	186722	159296	  1.17	8985	0	--  	102.64	          0.09	0.03	1049.45	          1.51	         17.64亿	 20.33	   2341	    148	        0.0098	2	6.46	17.86	28.92	72.02	35.50	7	         29.47	         13.71亿	         52.77	--  	0.15	MACD金叉	8	8	1	1.34	20.04	0.72	15.09	18.46	0.00	19.18	20210716	20141030	          2.22	--  	--  	15.88	7.55	          0.05	52.18	11.13	3.43	0.83	8.00	2.00	2.57	4.19	--  	4.26	1.81	1.55	-0.02	-0.01	-0.02	-0.01	0.04	0.66	-0.55	-0.29	15277.00	          7685	8.98万	88.32	55.76	          3.44	-46.93	14.39	0.00	-0.006㈠	          3.39	0.00	          1.92	          0.30	         -0.25	         47.53	  -0.19㈠	         14.04	         -1.25	         -0.79	0.01	651	300405	--  	--  	--  	
300414	中光防雷	20.04	0.00	133.36	         40.52亿	12.46	    76.39	2.08	12.46	--  	451221	398	         14.78	10.38	12.46	10.29	10.38	53805.05	  4.49	通信设备	四川	20.91	11.92	250248	200973	  1.25	5413	0	--  	24.70	          0.02	0.01	674.46	          3.05	         38.04亿	 20.33	   3566	    127	        0.0041	2	5.81	16.01	28.06	45.65	6.63	2	         33.34	         16.87亿	         41.62	127.61	0.28	MACD金叉	8	8	11	0.00	20.04	-0.87	14.88	20.04	0.00	21.09	20210716	20150513	          3.25	--  	--  	10.76	9.19	         -0.09	15.41	9.26	0.79	0.13	1.56	2.92	1.49	2.30	--  	1.26	0.98	0.63	0.13	0.02	0.13	0.13	0.13	4.17	-0.07	-0.15	20289.00	          6671	8.31万	-9.36	72.03	          4.41	-543.38	41.44	0.12	0.040㈠	          2.83	2.83	          0.39	          1.28	         -0.02	         85.44	   1.44㈠	         35.26	         13.13	         13.56	0.12	858	300414	--  	--  	--  	
300141	和顺电气	20.04	0.00	--  	         32.70亿	12.88	   490.70	2.15	12.88	--  	421523	306	         25.46	11.14	12.88	11.14	10.73	52918.20	  2.62	电气设备	江苏	16.22	12.55	256467	165056	  1.55	20941	0	--  	284.96	          0.30	0.05	2697.20	          1.66	         21.33亿	 20.33	   1911	    221	        0.0133	2	7.84	21.40	31.03	39.70	26.90	6	         48.65	         11.16亿	         34.12	--  	0.55	KDJ金叉	8	8	1	3.82	20.04	3.82	17.00	15.62	0.00	15.62	20210716	20101112	          2.54	--  	--  	9.70	6.69	          0.12	29.77	6.63	2.25	0.07	2.89	1.64	0.53	3.85	--  	2.46	0.76	0.60	0.02	0.00	0.02	0.02	0.02	1.38	-0.20	-0.33	22872.00	          3788	4.88万	126.97	20.49	          4.89	-162.13	43.26	0.00	0.007㈠	          2.63	0.00	          0.97	          0.54	         -0.08	         68.97	   0.25㈠	         20.66	          2.85	          2.20	0.04	237	300141	--  	--  	--  	
300318	博晖创新	20.02	0.00	868.61	         91.08亿	11.15	--  	1.86	11.15	--  	977376	2337	         12.27	9.05	11.15	8.88	9.29	97870.99	  2.94	医疗保健	北京	24.43	10.01	491517	485859	  1.01	73011	0	--  	967.81	          0.34	0.07	8140.73	          7.97	         88.81亿	 20.31	   3839	    255	        0.0032	3	8.78	56.59	43.32	43.50	-6.77	11	         30.95	         35.21亿	         38.66	1213.82	0.65	EXPMA金叉	6	2	1	-2.58	20.02	-4.41	7.79	23.20	0.00	25.56	20210716	20120523	          8.17	--  	--  	37.80	12.89	          1.29	62.49	11.26	6.31	3.70	20.92	0.75	7.97	1.33	0.05	2.63	1.59	0.91	-0.18	0.00	-0.18	-0.10	-0.11	2.10	-0.12	0.31	50359.00	          6271	6.99万	22.17	14.06	          7.07	-739.69	57.24	0.00	-0.013㈠	          1.58	0.00	          0.32	          0.26	         -0.02	         34.10	  -0.81㈠	         42.61	        -11.51	         -6.58	0.16	1306	300318	--  	--  	--  	
300540	深冷股份	20.01	0.00	226.56	         30.89亿	24.77	--  	4.13	24.77	--  	117391	161	         13.06	20.72	24.77	20.65	20.64	27433.84	  2.83	专用机械	四川	19.96	23.37	49675	67716	  0.73	11272	0	--  	32.53	          0.03	0.10	2792.07	          0.90	         22.27亿	 20.30	   2843	     41	        0.0046	2	5.95	21.35	20.95	34.99	38.30	4	         23.46	         12.39亿	         40.12	327.63	0.65	MACD金叉	8	6	1	0.39	20.01	0.05	13.22	19.55	0.00	19.95	20210728	20160823	          1.25	--  	--  	12.52	5.62	          0.22	53.35	10.37	1.29	0.16	6.68	0.81	2.43	1.78	0.00	3.41	0.34	0.26	-0.06	0.00	-0.06	-0.05	-0.05	0.73	-0.20	0.31	10357.00	          4830	11.97万	45.09	3.68	          5.50	-152.06	91.13	0.00	-0.042㈠	          4.51	0.00	          2.74	          0.58	         -0.16	         44.89	  -0.94㈠	         23.53	        -16.34	        -15.62	0.03	330	300540	--  	--  	--  	
300693	盛弘股份	20.01	0.00	61.18	         73.88亿	35.99	    63.08	6.00	35.99	--  	39145	51	          2.78	35.99	35.99	35.99	29.99	14088.15	  0.14	电气设备	深圳	0.00	35.99	34513	4632	  7.45	62927	0	--  	3316.48	          0.77	1.61	22647.43	          1.41	         50.63亿	 20.30	    890	     44	        0.0031	2	20.01	39.18	108.03	87.77	96.74	2	          3.26	         43.16亿	         58.42	69.63	0.98	顶部缩量	6	6	8	20.01	20.01	20.01	20.01	0.00	0.00	0.00	20210716	20170822	          2.05	--  	--  	12.37	7.84	          0.01	36.56	9.60	0.21	0.87	4.47	1.85	1.69	3.37	--  	3.14	1.81	0.97	0.33	-0.00	0.33	0.29	0.26	2.94	-0.22	-0.11	18357.00	          6533	23.51万	100.22	65.62	          9.42	-339.98	40.76	0.30	0.143㈠	          3.82	0.00	          1.53	          1.43	         -0.11	         63.39	   3.73㈠	         46.73	         18.00	         16.15	0.22	835	300693	--  	--  	--  	
300827	上能电气	20.00	0.00	230.03	        170.66亿	129.29	   274.07	21.55	129.29	--  	150100	614	         27.83	112.00	129.29	108.88	107.74	184682.43	  1.17	电气设备	江苏	18.94	123.04	77360	72740	  1.06	4477	0	--  	4194.40	          0.79	0.03	5788.31	          0.54	         69.72亿	 20.29	   2862	     52	        0.0097	3	20.00	72.79	172.19	367.41	189.92	6	         31.82	         60.99亿	         35.74	220.34	1.02	多头排列	8	6	6	3.95	20.00	1.06	14.20	15.44	0.00	18.75	20210726	20200410	          1.32	--  	--  	21.02	8.60	--  	59.06	18.58	0.61	0.24	12.21	4.58	3.93	5.24	--  	4.54	1.60	1.20	0.16	0.02	0.16	0.16	0.11	3.03	-2.05	-1.97	12994.00	          3631	46.94万	-17.33	51.54	         19.84	-83.45	106.67	0.09	0.118㈠	          6.52	0.00	          3.44	          2.29	         -1.55	         40.94	   1.81㈠	         25.09	         10.01	          9.73	0.14	607	300827	--  	--  	--  	
