代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	-1.50	-0.10	11.25	       3432.91亿	17.69	     8.47	-0.27	17.69	17.70	950156	14989	          0.49	17.92	18.05	17.24	17.96	167974.73	  0.87	银行	深圳	4.51	17.68	506105	444051	  1.14	975	167	--  	740.63	          0.01	--  	--  	        194.06	       3432.88亿	 -1.21	   4675	    203	        0.0001	-1	1.18	-0.40	-18.89	-24.14	-7.67	0	          1.16	       1443.62亿	         42.05	11.87	0.81	空头排列	9	9	10	-0.22	0.50	-4.01	-1.57	-1.28	-1.99	2.61	20210716	19910403	        194.06	--  	--  	45729.74	3726.17	--  	91.85	0.00	118.28	63.28	0.00	4067.05	0.00	0.00	--  	808.16	417.88	0.00	129.29	27.57	128.74	101.32	101.11	1392.87	-115.53	44.24	331829.00	         24593	43.50万	18.53	10.18	          1.13	-29.71	8.22	1.02	0.420㈠	         15.60	15.60	          4.16	          7.18	         -0.60	          8.15	   2.72㈠	--  	         30.94	         24.25	--  	38097	000001	--  	--  	--  	
000002	万 科Ａ	0.29	0.10	5.78	       2009.02亿	20.66	    46.43	0.06	20.66	20.67	679989	9006	          0.70	20.39	20.70	20.10	20.60	139212.67	  0.65	全国地产	深圳	2.91	20.47	296436	383552	  0.77	364	1460	--  	428.19	          0.00	--  	--  	         97.18	       2007.65亿	  0.58	   4651	    146	        0.0002	3	0.54	2.49	-14.10	-26.00	-28.01	1	          1.05	       1337.68亿	         66.58	5.78	0.46	-- -- 	9	9	4	-1.02	0.49	-2.43	-0.62	1.32	-0.19	2.79	20210716	19910129	        116.18	--  	         18.94	19078.61	2257.08	       1297.24	81.37	15843.32	124.16	61.61	13469.20	1965.99	10207.64	33.24	9.38	184.46	622.64	495.56	40.45	5.36	41.08	12.92	11.57	997.09	168.79	29.84	394010.00	         16433	33.95万	3.44	30.33	          1.06	14.22	3.85	6.05	0.111㈠	         19.43	0.00	          1.59	          8.58	          1.45	         11.83	   0.57㈠	         20.41	          6.50	          2.08	1.27	140565	000002	--  	--  	--  	
000004	国华网安	2.76	0.32	52.69	         34.31亿	21.99	   199.49	0.59	21.98	21.99	90277	1424	          7.84	21.45	22.50	21.05	21.40	19789.31	  0.88	软件服务	深圳	6.78	21.92	43815	46462	  0.94	138	190	--  	102.75	          0.06	--  	--  	          1.15	         25.32亿	  3.05	   3464	     26	        0.0023	2	2.88	-3.09	22.30	37.18	6.23	12	         11.49	         17.28亿	         50.38	53.08	0.72	-- -- 	10	6	11	0.23	5.14	-1.64	2.43	2.52	-2.27	4.47	20210728	19910114	          1.56	--  	--  	15.80	14.61	          0.00	7.50	5.47	0.02	0.28	1.14	1.33	0.05	3.67	0.01	12.00	0.37	0.13	0.05	0.00	0.05	0.04	0.04	0.83	-0.40	-0.48	20397.00	          3853	8.47万	12.66	57.10	          2.35	-85.22	93.91	0.00	0.028㈠	          9.37	0.00	          7.69	          0.53	         -0.26	         92.50	   0.29㈠	         64.41	         13.27	         11.77	0.06	264	000004	--  	--  	--  	
000005	ST星源	1.46	0.48	--  	         22.12亿	2.09	    65.99	0.03	2.08	2.09	138636	476	          1.31	2.06	2.14	2.03	2.06	2898.06	  0.70	环境保护	深圳	5.34	2.09	78320	60316	  1.30	4354	876	--  	5.40	          0.00	--  	--  	         10.58	         22.11亿	  1.75	    947	    146	        0.0014	2	0.49	-0.47	12.97	-0.95	-17.39	6	          1.60	         18.13亿	         81.96	--  	0.00	-- -- 	12	11	9	0.00	3.88	-1.46	1.48	1.46	-2.34	2.96	20210728	19901210	         10.59	--  	--  	24.04	12.48	          0.93	44.22	12.98	0.28	0.60	10.44	0.79	0.21	3.33	--  	6.88	0.48	0.33	0.08	0.19	0.09	0.08	-0.12	-5.23	-0.32	-0.49	114750.00	          7560	1.58万	139.93	5.38	          1.77	-69.34	45.94	0.00	0.008㈠	          1.18	0.00	          0.65	         -0.49	         -0.03	         51.93	   0.67㈠	         31.79	         17.42	         17.40	0.08	629	000005	--  	--  	--  	
000006	深振业Ａ	-0.23	0.23	5.93	         59.67亿	4.42	     5.54	-0.01	4.41	4.42	55439	520	          0.41	4.41	4.44	4.36	4.43	2435.80	  0.77	区域地产	深圳	1.81	4.39	27937	27502	  1.02	221	1644	--  	6.62	          0.00	--  	--  	         13.50	         59.67亿	  0.06	   1223	     45	        0.0003	-1	0.23	-1.78	-10.34	-15.76	-18.41	2	          0.65	         37.60亿	         63.01	6.90	0.24	-- -- 	9	4	9	-0.45	0.23	-1.58	-0.82	0.23	-0.45	1.38	20210716	19920427	         13.50	--  	--  	160.52	76.34	          4.88	49.40	122.86	0.44	0.00	41.11	32.32	75.37	0.11	0.02	4.84	9.18	4.59	3.65	0.90	3.66	2.69	2.63	38.98	3.10	12.84	70390.00	         12084	5.34万	110.53	40.80	          0.78	19.27	6.50	4.37	0.200㈠	          5.65	0.00	          0.36	          2.89	          0.23	         47.56	   3.53㈠	         50.02	         39.76	         29.33	--  	397	000006	--  	--  	--  	
000007	*ST全新	-0.68	0.46	--  	         15.11亿	4.36	--  	-0.03	4.35	4.36	39899	1230	          1.29	4.40	4.40	4.30	4.39	1731.26	  0.63	酒店餐饮	深圳	2.28	4.34	24081	15818	  1.52	25	706	--  	22.13	          0.02	--  	--  	          3.09	         13.47亿	 -0.39	    432	     92	        0.0030	-1	3.78	3.32	3.56	22.82	-37.45	17	          1.57	         11.08亿	         73.34	--  	0.68	-- -- 	10	12	11	0.23	0.23	-2.05	-1.16	-0.91	-0.91	1.40	20210716	19920413	          3.46	--  	--  	3.79	0.63	          0.03	82.45	2.62	0.46	0.00	2.11	0.61	0.01	0.08	--  	1.57	0.13	0.05	-0.01	-0.02	-0.01	-0.01	0.02	-3.90	0.06	0.10	36182.00	          7022	3.06万	94.35	50.09	         23.91	259.10	114.82	0.00	-0.004㈠	          0.18	0.00	          0.45	         -1.13	          0.02	         16.67	  -2.04㈠	         65.63	         -8.18	         -9.80	--  	76	000007	--  	--  	--  	
000008	神州高铁	-0.49	-0.48	--  	         56.73亿	2.04	--  	-0.01	2.04	2.05	104573	774	          0.39	2.04	2.05	2.02	2.05	2127.38	  0.75	运输设备	北京	1.46	2.03	55777	48796	  1.14	3305	4487	--  	68.54	          0.02	--  	--  	         26.65	         54.37亿	 -0.20	    966	    108	        0.0004	-1	0.99	-2.85	-6.42	-9.33	-19.69	0	          0.65	         32.70亿	         57.64	--  	0.13	-- -- 	9	7	13	-0.49	0.00	-1.46	-0.76	0.00	-0.49	0.99	20210729	19920507	         27.81	--  	--  	131.77	64.60	          1.23	50.05	60.09	4.38	3.11	50.24	9.25	12.53	26.72	--  	27.92	1.49	0.82	-0.79	0.26	-0.79	-0.86	-0.88	10.65	-1.45	0.91	90849.00	         17642	3.60万	20.52	25.11	          0.88	-39.21	38.00	0.00	-0.030㈠	          2.32	0.00	          1.00	          0.38	         -0.05	         49.02	  -1.33㈠	         45.34	        -52.74	        -57.61	0.43	2394	000008	--  	--  	--  	
000009	中国宝安	0.09	0.24	67.42	        547.31亿	21.22	    71.91	0.02	21.21	21.22	1270116	6704	          4.98	21.42	23.16	20.98	21.20	277084.83	  1.20	综合类	深圳	10.28	21.82	663471	606645	  1.09	1090	634	--  	4861.27	          0.12	--  	--  	         25.51	        541.41亿	  0.38	   4710	    270	        0.0011	2	10.02	-0.89	22.09	102.48	181.81	9	          6.71	        401.60亿	         73.38	82.70	1.70	-- -- 	8	8	8	1.04	9.25	-1.04	2.90	-0.93	-8.38	1.14	20210716	19910625	         25.79	--  	--  	322.33	70.83	         64.92	57.88	211.49	46.11	10.96	119.81	56.26	89.72	20.80	0.02	12.08	37.01	24.92	4.48	1.65	4.46	1.90	1.22	29.99	2.40	-11.44	107533.00	         17600	37.35万	373.43	129.33	          7.73	227.75	14.79	0.14	0.074㈠	          2.75	0.00	          0.47	          1.16	          0.09	         21.98	   2.69㈠	         32.67	         12.12	          5.14	1.38	13345	000009	--  	--  	--  	
000010	美丽生态	-0.52	-0.25	59.59	         31.65亿	3.86	   500.32	-0.02	3.85	3.86	23768	139	          0.46	3.83	3.88	3.83	3.88	916.80	  0.35	建筑工程	深圳	1.29	3.86	13202	10566	  1.25	1897	94	--  	10.00	          0.01	--  	--  	          5.22	         20.16亿	 -0.23	    470	     51	        0.0010	-4	-0.77	-1.54	-1.28	-5.85	-1.28	8	          0.48	         18.94亿	         59.86	79.43	0.03	KDJ死叉	9	4	14	-1.29	0.00	-1.29	-0.59	0.78	-0.52	0.78	20210716	19951027	          8.20	--  	--  	35.59	4.93	          3.31	76.83	27.48	0.22	0.02	25.72	0.29	1.85	17.96	--  	14.81	2.28	1.88	0.14	0.00	0.15	0.02	0.01	-18.16	-0.41	-0.39	38827.00	         12640	4.88万	113.53	224.56	          6.41	-77.67	13.88	0.00	0.002㈠	          0.60	0.00	          1.81	         -2.22	         -0.05	         13.87	   0.32㈠	         17.77	          6.19	          0.69	--  	278	000010	--  	--  	--  	
000011	深物业A	-1.36	0.00	8.02	         69.01亿	11.58	     8.05	-0.16	11.58	11.59	44728	1193	          0.85	11.74	11.74	11.44	11.74	5176.39	  0.69	区域地产	深圳	2.56	11.57	26171	18557	  1.41	3392	96	--  	6.46	          0.00	--  	--  	          5.26	         60.97亿	 -1.07	   1443	     31	        0.0006	-1	0.26	-0.85	-3.02	-6.46	-1.53	5	          2.39	         21.66亿	         31.38	8.64	0.45	-- -- 	7	4	9	0.00	0.00	-2.56	-1.42	-1.36	-1.36	1.22	20210716	19920330	          5.96	          0.68	--  	124.56	39.42	          0.46	67.99	107.35	1.12	0.00	47.58	42.37	53.29	2.41	0.01	0.80	8.91	3.15	2.65	0.03	2.73	2.14	2.08	32.53	0.83	0.29	55834.00	          4561	5.28万	41.05	3.42	          1.75	82.94	7.75	3.54	0.360㈠	          6.61	0.00	          0.14	          5.46	          0.14	         31.65	   5.44㈠	         64.68	         29.73	         24.06	--  	8035	000011	--  	--  	--  	
