代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000875	吉电股份	10.06	0.00	24.32	        155.69亿	5.58	     9.15	0.51	5.58	--  	1516229	481	          7.06	5.12	5.58	5.09	5.07	83018.82	  2.80	火力发电	吉林	9.66	5.48	605354	910875	  0.66	59986	0	--  	274.38	          0.03	0.04	3347.22	         21.46	        119.76亿	 10.35	   3762	    403	        0.0019	2	1.60	10.93	2.20	18.47	30.68	2	          9.83	         86.04亿	         55.26	32.57	0.55	-- -- 	8	8	8	0.99	10.06	0.39	8.00	8.98	0.00	9.63	20210722	20020926	         27.90	--  	--  	579.91	104.32	         35.80	75.84	101.49	395.47	6.70	157.97	7.41	1.35	77.85	--  	70.54	35.10	25.30	5.68	0.20	5.69	4.26	4.23	4.89	8.01	2.39	162393.00	          9495	5.30万	61.55	40.81	          1.49	19.43	4.44	0.00	0.200㈠	          3.74	0.00	          2.53	          0.18	          0.29	         17.99	   4.08㈠	         27.92	         16.18	         12.13	0.01	4653	000875	--  	--  	--  	
002125	湘潭电化	10.04	0.00	189.11	         74.53亿	11.84	    97.15	1.08	11.84	--  	41180	4181	          0.69	11.84	11.84	11.84	10.76	4875.73	  0.11	化工原料	湖南	0.00	11.84	34989	6191	  5.65	83022	0	--  	971.29	          0.22	2.02	9829.80	          5.93	         70.24亿	 10.33	   1604	     26	        0.0004	3	10.02	22.06	53.77	69.38	49.31	4	          1.11	         43.76亿	         58.72	294.60	0.72	顶部缩量	8	6	8	10.04	10.04	10.04	10.04	0.00	0.00	0.00	20210718	20070403	          6.29	--  	--  	39.00	17.89	          0.18	53.68	13.48	17.50	2.16	15.82	2.72	5.89	3.41	--  	9.32	3.42	2.69	0.21	0.06	0.21	0.19	0.19	2.03	0.15	0.68	35521.00	         10406	12.32万	278.47	66.00	          4.17	492.67	21.76	0.17	0.030㈠	          2.84	0.00	          1.48	          0.32	          0.02	         45.87	   1.07㈠	         21.33	          6.26	          5.60	0.06	1124	002125	--  	--  	--  	
000591	太阳能	10.03	0.00	18.33	        211.10亿	7.02	    18.95	0.64	7.02	--  	2966586	1515	         14.56	6.37	7.02	6.30	6.38	204617.38	  2.05	新型电力	重庆	11.29	6.90	1415667	1550919	  0.91	88701	0	--  	320.86	          0.03	0.03	6226.81	         20.37	        143.00亿	 10.32	   4243	    699	        0.0034	2	3.91	7.34	18.06	12.93	-1.76	13	         15.11	        137.86亿	         65.30	20.54	0.50	MACD金叉	3	14	10	-0.16	10.03	-1.25	8.11	10.20	0.00	11.43	20210716	19960208	         30.07	--  	--  	401.12	143.17	          1.29	63.99	112.52	263.07	5.14	52.97	14.37	2.43	91.36	0.03	66.93	15.72	9.70	3.00	0.00	3.29	2.79	2.52	44.30	1.55	0.25	186751.00	         10515	7.38万	80.11	54.97	          1.47	136.38	13.43	1.77	0.093㈠	          4.76	0.00	          2.23	          1.47	          0.05	         35.69	   1.95㈠	         38.30	         19.10	         17.72	0.12	1833	000591	--  	--  	--  	
002216	三全食品	10.03	0.00	19.54	        134.08亿	15.25	    19.06	1.39	15.25	--  	187715	1445	          2.98	13.87	15.25	13.34	13.86	26915.26	  2.17	食品	河南	13.78	14.34	98844	88871	  1.11	9261	0	--  	23.40	          0.01	0.05	1412.30	          6.30	         96.10亿	 10.32	   3482	     54	        0.0009	1	-0.29	7.09	-14.66	-11.71	-33.83	5	          6.24	         45.87亿	         34.21	17.46	0.25	KDJ金叉	9	13	9	0.07	10.03	-3.75	3.45	9.95	0.00	14.32	20210716	20080220	          8.79	--  	--  	58.29	32.05	         -0.00	45.03	34.29	16.61	2.50	23.04	8.08	10.18	4.87	--  	3.05	23.31	16.63	2.24	0.09	2.25	1.76	1.72	19.97	-0.81	-2.46	63322.00	          4750	7.24万	-31.71	5.17	          4.18	-165.00	5.75	3.58	0.200㈠	          3.65	0.00	          0.35	          2.27	         -0.09	         54.98	   5.49㈠	         28.65	          9.61	          7.55	0.05	7161	002216	--  	--  	--  	
002472	双环传动	10.02	0.00	115.00	        144.44亿	18.99	    68.16	1.73	18.99	--  	310744	139	          4.93	17.12	18.99	17.12	17.26	57751.17	  1.29	机械基件	浙江	10.83	18.58	143349	167395	  0.86	10302	0	--  	69.16	          0.01	0.03	1956.35	          6.31	        119.79亿	 10.31	   3043	    102	        0.0016	2	0.35	9.26	25.02	63.28	164.12	5	          6.39	         92.28亿	         63.89	281.94	0.89	KDJ金叉	12	8	12	-0.81	10.02	-0.81	7.68	10.92	0.00	10.92	20210716	20100910	          7.61	--  	--  	86.85	36.85	          1.14	56.26	32.65	36.11	2.30	32.13	3.53	11.51	10.91	--  	14.25	11.74	9.56	0.63	-0.02	0.64	0.53	0.44	11.91	1.57	-0.44	16524.00	         29409	55.85万	347.70	103.02	          3.73	92.29	12.30	0.10	0.080㈠	          5.09	5.09	          1.87	          1.57	          0.21	         42.43	   1.44㈠	         18.56	          5.38	          4.51	0.44	4649	002472	--  	--  	--  	
002950	奥美医疗	10.02	0.00	8.29	         98.03亿	15.48	    21.07	1.41	15.48	--  	129348	538	          5.79	14.01	15.48	13.65	14.07	19439.54	  3.35	医疗保健	湖北	13.01	15.03	56435	72913	  0.77	2186	0	--  	2.80	          0.00	0.02	338.39	          2.24	         34.60亿	 10.31	   2826	     46	        0.0020	3	0.21	13.65	-5.67	-20.53	-20.33	1	          7.34	         27.29亿	         27.84	8.47	0.71	MACD金叉	9	9	9	-0.43	10.02	-2.99	6.82	10.49	0.00	13.41	20210716	20190311	          6.33	--  	--  	52.99	30.34	          0.13	42.51	30.11	11.98	2.22	17.31	10.43	9.20	4.37	--  	5.73	8.21	5.66	1.45	0.09	1.45	1.16	0.98	17.16	0.13	-2.53	55811.00	          3159	4.89万	27.53	37.32	          3.23	730.07	11.95	5.68	0.184㈠	          4.79	0.00	          0.90	          2.71	          0.02	         57.25	   3.83㈠	         31.02	         17.63	         14.17	0.31	5426	002950	--  	--  	--  	
000962	东方钽业	10.02	0.00	81.39	         57.13亿	12.96	    91.38	1.18	12.96	--  	348899	231	          7.91	11.92	12.96	11.71	11.78	43712.26	  1.96	小金属	宁夏	10.61	12.53	142584	206315	  0.69	11581	0	--  	83.92	          0.03	0.03	1500.90	          4.41	         57.13亿	 10.31	   4006	     87	        0.0020	2	8.17	16.44	46.61	48.45	46.94	6	         14.60	         30.96亿	         54.20	115.85	0.91	MACD金叉	6	8	8	1.19	10.02	-0.59	6.36	8.72	0.00	10.67	20210721	20000120	          4.41	--  	--  	15.76	12.30	          0.05	21.63	6.56	2.93	0.63	2.77	1.23	2.56	1.69	--  	11.98	2.03	1.59	0.16	0.10	0.16	0.16	0.14	-6.48	0.43	0.22	37575.00	          6358	8.24万	397.43	111.31	          4.65	133.76	28.10	0.00	0.035㈠	          2.79	0.00	          2.72	         -1.47	          0.10	         78.03	   1.27㈠	         21.76	          7.79	          7.69	0.02	1154	000962	--  	--  	--  	
002035	华帝股份	10.02	0.00	12.46	         60.15亿	6.92	    12.57	0.63	6.92	--  	286824	269	          3.66	6.60	6.92	6.56	6.29	19487.17	  3.12	家用电器	广东	5.72	6.79	141393	145431	  0.97	65227	0	--  	527.67	          0.13	0.23	4513.71	          7.83	         54.18亿	 10.31	   1621	    177	        0.0023	3	0.96	11.80	-2.54	-1.98	-20.28	3	          4.57	         43.44亿	         72.22	14.75	0.38	KDJ金叉	1	9	13	4.93	10.02	4.29	8.01	4.85	0.00	5.49	20210730	20040901	          8.69	--  	--  	62.91	32.73	          0.91	46.52	45.86	7.40	1.96	28.69	12.41	8.63	8.07	--  	0.81	26.59	15.18	2.90	0.16	2.92	2.39	2.27	21.38	0.70	3.15	51429.00	         12206	8.45万	45.42	59.46	          1.84	86.42	2.26	2.11	0.275㈡	          3.77	0.00	          0.09	          2.46	          0.08	         52.03	   7.31㈡	         42.92	         10.91	          9.00	1.37	4720	002035	--  	--  	--  	
002533	金杯电工	10.01	0.00	18.92	         63.72亿	8.68	    19.30	0.79	8.68	--  	468369	44	          7.83	8.67	8.68	8.31	7.89	40367.91	  1.02	电气设备	湖南	4.69	8.62	253565	214804	  1.18	19986	0	--  	3173.09	          0.96	0.04	1734.78	          5.98	         51.91亿	 10.30	   2687	    174	        0.0029	3	8.68	20.72	67.24	66.60	71.54	1	         12.25	         33.19亿	         52.09	25.50	0.49	KDJ金叉	8	8	8	9.89	10.01	5.32	9.24	0.12	0.00	4.45	20210730	20101231	          7.34	--  	--  	74.80	32.89	          2.61	52.54	55.80	12.95	2.20	33.29	6.98	18.43	18.75	0.03	13.91	56.43	48.91	2.07	0.05	2.06	1.65	1.47	9.81	-5.18	-3.04	37963.00	         10073	8.74万	111.36	96.08	          1.94	-12.31	1.13	2.88	0.230㈡	          4.48	0.00	          1.90	          1.34	         -0.71	         43.97	   5.02㈡	         13.34	          3.66	          2.93	1.89	3882	002533	--  	--  	--  	
002518	科士达	10.01	0.00	44.66	        164.48亿	28.24	    47.94	2.57	28.24	--  	289787	166	          5.13	27.45	28.24	27.00	25.67	81180.10	  0.78	电气设备	深圳	4.83	28.01	188383	101404	  1.86	15011	0	--  	4445.80	          0.77	0.05	4239.11	          5.65	        159.66亿	 10.30	   1881	    154	        0.0027	3	9.98	21.98	92.37	125.02	144.93	5	         13.84	         59.13亿	         35.95	54.27	1.03	KDJ金叉	8	6	8	6.93	10.01	5.18	9.13	2.88	0.00	4.59	20210721	20101207	          5.82	--  	--  	42.14	28.91	          0.08	31.21	28.30	6.65	1.59	11.34	4.11	4.61	8.38	0.00	5.03	4.73	3.08	1.04	0.03	1.04	0.86	0.76	15.94	0.34	-1.52	25000.00	          8375	23.65万	316.62	95.70	          5.69	480.20	34.77	0.71	0.150㈠	          4.96	0.00	          0.86	          2.74	          0.06	         68.61	   2.97㈠	         34.95	         21.93	         18.13	0.32	2897	002518	--  	--  	--  	
