代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
688509	N正元	321.8	0.36	74.31	         63.99亿	8.31	--  	6.34	8.31	8.32	1074692	6609	         70.00	12.61	12.80	7.89	1.97	103476.29	0.00	建筑工程	北京	249.24	9.63	671750	402941	  1.67	214	75	--  	7845.44	          4.05	--  	--  	          1.54	         12.76亿	322.25	   4554	    236	        0.0154	1	0.00	321.83	321.83	321.83	321.83	0	         70.00	         12.76亿	         19.94	99.66	0.00	-- -- 				540.10	549.75	300.51	388.75	-34.10	-35.08	5.32	20210729	20210730	          7.70	--  	--  	33.60	11.62	          1.69	60.40	23.92	1.81	0.54	17.43	2.22	0.21	6.36	--  	2.33	2.87	1.94	-0.20	0.00	-0.21	-0.19	-0.18	3.09	-1.67	-2.06	105072.00	          1461	1.21万	0.00	0.00	          4.41	-38.28	22.31	0.00	-0.024㈠	          1.88	1.88	          0.30	          0.40	         -0.22	         34.57	  -1.60㈠	         32.52	         -6.82	         -6.49	0.20	3324	688509	--  	--  	--  	
688511	N天微	268.5	2.27	63.39	         82.80亿	103.50	    55.53	75.41	103.50	103.52	134160	1117	         82.39	88.00	113.00	86.00	28.09	125951.07	0.00	元器件	四川	96.12	93.88	66076	68084	  0.97	154	5	--  	4819.57	          3.36	--  	--  	          0.16	         16.85亿	268.88	   3889	     34	        0.0212	1	0.00	268.46	268.46	268.46	268.46	0	         82.39	         16.85亿	         20.35	73.46	0.00	-- -- 				213.28	302.28	206.16	234.22	17.61	-8.41	20.35	20210729	20210730	          0.80	--  	--  	4.35	2.94	--  	32.33	3.53	0.68	0.07	1.12	0.32	0.61	1.62	--  	0.81	1.34	0.34	0.85	0.00	0.87	0.75	0.68	1.35	0.47	0.05	22444.00	           726	7.51万	0.00	0.00	         10.32	177.81	61.84	0.00	0.932㈡	         10.03	10.03	          1.01	          1.68	          0.58	         67.67	  25.35㈡	         74.76	         63.83	         55.68	0.06	197	688511	--  	--  	--  	
688609	九联科技	20.01	0.00	57.31	         84.55亿	16.91	--  	2.82	16.91	--  	281374	176	         34.84	14.57	16.91	14.57	14.09	46058.73	  3.19	通信设备	广东	16.61	16.37	146848	134526	  1.09	6902	0	--  	96.22	          0.08	0.02	1167.13	          0.81	         13.66亿	 20.44	   2057	    137	        0.0169	2	4.99	16.85	8.12	94.37	323.81	4	         34.84	         13.66亿	         16.15	62.24	0.34	-- -- 	10			3.41	20.01	3.41	16.18	16.06	0.00	16.06	20210716	20210323	          5.00	--  	--  	26.83	11.96	         -0.01	55.44	22.12	2.83	0.17	14.44	5.24	4.23	10.41	--  	3.14	4.88	4.04	-0.06	0.00	-0.06	-0.01	-0.02	3.29	-2.29	3.00	25846.00	          3125	5.28万	0.00	0.00	          7.07	-36.98	17.33	0.00	-0.002㈠	          2.39	0.00	          0.63	          0.66	         -0.46	         44.58	  -0.09㈠	         17.12	         -1.18	         -0.22	0.37	1402	688609	--  	--  	--  	
688819	天能股份	20.01	0.12	23.65	        567.32亿	58.36	    34.43	9.73	58.35	58.36	278155	895	         26.19	48.00	58.36	47.88	48.63	157036.76	  2.84	电气设备	浙江	21.55	56.46	126001	152154	  0.83	92	56	--  	467.83	          0.09	--  	--  	          1.06	         61.99亿	 20.43	   4208	     66	        0.0062	2	7.35	22.07	30.44	41.55	41.68	0	         26.19	         61.99亿	         10.93	24.88	0.76	KDJ金叉	8	2		-1.30	20.01	-1.54	16.09	21.58	0.00	21.89	20210716	20210118	          9.72	--  	--  	264.31	118.80	          3.91	53.58	202.15	42.70	6.69	122.39	86.52	53.87	17.35	--  	57.44	72.59	58.57	5.04	0.12	5.23	4.12	3.04	48.52	-25.89	34.69	41440.00	          2563	14.96万	0.00	0.00	          4.78	-21.91	7.81	1.03	0.440㈠	         12.22	0.00	          5.91	          4.99	         -2.66	         44.95	   3.47㈠	         19.32	          6.95	          5.67	2.59	22333	688819	--  	--  	--  	
688663	新风光	20.00	0.00	42.32	         50.38亿	36.00	    63.45	6.00	36.00	--  	66747	24	         22.14	34.30	36.00	32.69	30.00	23114.21	  1.23	电气设备	山东	11.03	34.63	31864	34883	  0.91	11329	0	--  	1396.39	          1.35	0.17	4078.44	          0.30	         10.85亿	 20.42	    766	     87	        0.0289	2	20.00	39.42	71.43	79.02	153.88	2	         22.14	         10.85亿	         21.54	47.21	0.00	多头排列	6			14.33	20.00	8.97	15.43	4.96	0.00	10.13	20210716	20210413	          1.40	--  	--  	11.85	5.67	--  	52.13	10.34	1.00	0.29	6.11	1.75	2.17	4.24	--  	1.55	1.26	0.85	0.24	0.00	0.25	0.20	0.15	2.68	0.01	-0.24	9421.00	          3200	11.52万	0.00	0.00	          4.99	7373.33	39.94	0.83	0.190㈠	          7.22	7.22	          1.10	          1.91	          0.00	         47.87	   3.50㈠	         32.40	         19.11	         15.74	0.07	507	688663	--  	--  	--  	
688668	鼎通科技	17.32	0.14	56.72	         47.93亿	56.30	    54.31	8.31	56.30	56.31	18543	453	          8.71	47.49	56.61	47.19	47.99	9689.93	  1.72	元器件	广东	19.63	52.26	7876	10667	  0.74	11	26	--  	0.00	          0.00	--  	--  	          0.21	         11.99亿	 17.74	   1898	     10	        0.0046	2	4.78	21.44	67.76	109.14	90.85	0	          8.71	         11.99亿	         25.01	65.90	1.35	MACD金叉	8	8		-1.04	17.96	-1.67	8.89	18.55	-0.55	19.30	20210716	20201221	          0.85	--  	--  	9.20	7.56	--  	17.80	6.69	1.76	0.46	1.36	0.38	1.23	1.37	0.00	4.84	1.03	0.66	0.25	0.00	0.25	0.22	0.19	1.72	-0.05	-0.30	7667.00	          2777	15.63万	0.00	0.00	          6.34	-1048.38	46.36	0.89	0.260㈠	          8.88	0.00	          5.69	          2.02	         -0.05	         82.20	   2.92㈠	         36.46	         24.01	         21.34	0.07	1216	688668	--  	--  	--  	
688097	博众精工	15.80	-0.04	47.91	        163.73亿	40.83	--  	5.57	40.83	40.88	43595	247	         11.77	35.25	41.50	34.25	35.26	17310.24	  2.00	专用机械	江苏	20.56	39.71	17240	26355	  0.65	11	2	--  	4.93	          0.00	--  	--  	          0.37	         15.12亿	 16.22	   1663	     26	        0.0071	2	6.85	19.74	21.19	262.29	262.29	1	         11.77	         15.12亿	          9.23	68.44	0.00	MACD金叉				-0.03	17.70	-2.86	12.61	15.83	-1.61	19.21	20210716	20210512	          4.01	--  	--  	45.07	17.38	          0.35	60.65	36.17	4.74	1.05	24.36	5.07	15.55	12.31	--  	4.31	5.39	3.11	-0.11	0.00	-0.11	-0.17	-0.20	9.12	-2.56	-2.39	31490.00	          1176	4.80万	0.00	0.00	          7.63	-63.97	30.38	0.00	-0.042㈠	          5.35	5.35	          1.07	          2.27	         -0.64	         38.57	  -0.97㈠	         42.32	         -2.05	         -3.13	1.20	4154	688097	--  	--  	--  	
688575	亚辉龙	15.67	0.02	70.39	        175.20亿	43.26	   116.29	5.86	43.25	43.26	30941	363	          9.34	37.35	44.50	37.19	37.40	12823.49	  2.69	医疗保健	深圳	19.55	41.44	12491	18450	  0.68	79	49	--  	1.87	          0.00	--  	--  	          0.33	         14.33亿	 16.09	   1837	     17	        0.0051	2	0.73	15.06	-2.57	192.30	192.30	0	          9.34	         14.33亿	          8.18	83.22	0.00	MACD金叉				-0.13	18.98	-0.56	10.82	15.82	-2.79	16.32	20210716	20210517	          4.05	--  	--  	13.96	8.05	         -0.05	42.63	7.63	4.76	0.94	5.59	1.81	3.11	2.08	--  	0.13	2.36	1.03	0.44	0.00	0.43	0.38	0.35	3.91	0.05	-0.52	28688.00	          1155	5.00万	0.00	0.00	         13.01	3376.04	74.38	0.00	0.093㈠	          3.33	3.33	          0.03	          0.97	          0.01	         57.70	   4.68㈠	         56.47	         18.54	         15.99	0.30	1152	688575	--  	--  	--  	
688683	莱尔科技	11.77	0.00	35.91	         25.67亿	17.28	    41.36	1.82	17.25	17.28	46216	664	         15.30	15.45	17.88	15.45	15.46	7764.16	  3.38	化工原料	广东	15.72	16.80	16873	29343	  0.58	71	156	--  	6.49	          0.01	--  	--  	          0.30	          5.22亿	 12.19	   1849	     25	        0.0083	2	3.69	11.41	2.49	20.17	85.01	0	         15.30	          5.22亿	         20.33	40.55	0.92	-- -- 	10			-0.06	15.65	-0.06	8.66	11.84	-3.36	11.84	20210716	20210412	          1.49	--  	--  	6.07	5.12	--  	15.71	3.76	0.45	0.53	0.68	1.14	0.41	1.54	--  	1.76	1.04	0.67	0.18	0.00	0.18	0.16	0.14	2.17	-0.01	-0.37	32188.00	           938	1.62万	0.00	0.00	          3.18	-2045.84	24.75	0.98	0.140㈠	          5.43	5.43	          1.19	          1.46	         -0.01	         84.29	   3.03㈠	         35.10	         17.43	         14.96	0.06	743	688683	--  	--  	--  	
688323	瑞华泰	10.96	-0.12	109.00	         69.82亿	38.79	   103.43	3.83	38.79	38.80	39851	229	         10.88	34.97	39.29	34.02	34.96	14843.58	  1.57	塑料	深圳	15.07	37.25	12117	27734	  0.44	17	341	--  	2.45	          0.00	--  	--  	          0.37	         14.21亿	 11.38	   2100	     19	        0.0052	2	5.30	14.97	15.45	45.66	549.75	1	         10.88	         14.21亿	         20.35	119.28	1.17	-- -- 	8			0.03	12.39	-2.69	6.54	10.92	-1.27	14.02	20210716	20210428	          1.80	--  	--  	12.20	6.24	--  	48.81	2.46	4.54	0.56	2.47	0.53	0.40	0.72	--  	3.70	0.80	0.44	0.19	-0.00	0.19	0.17	0.16	1.09	0.08	-0.12	37835.00	           968	3.76万	0.00	0.00	          8.28	863.87	87.00	0.00	0.094㈠	          4.68	4.68	          2.06	          0.61	          0.04	         51.19	   2.70㈠	         45.72	         23.95	         21.03	0.05	305	688323	--  	--  	--  	
